"Search Parameters";"Volcano Name";"Country";"Latitude";"Longitude";"Elevation (m)";""
"";"Unnamed";"Russia";"56.82";"158.95";"1185";""
"";"Unnamed";"Russia";"52.57";"157.02";"610";""
"";"Unnamed";"Russia";"52.92";"158.52";"450";""
"";"Unnamed";"Russia";"52.88";"158.3";"700";""
"";"Unnamed";"Russia";"55.92";"161.75";"0";""
"";"Ushkovsky";"Russia";"56.113";"160.509";"3943";""
"";"Uzon";"Russia";"54.489";"159.974";"1617";""
"";"Veer";"Russia";"53.753";"158.448";"520";""
"";"Verkhovoy";"Russia";"56.52";"159.53";"1400";""
"";"Vilyuchinsky";"Russia";"52.7";"158.28";"2173";""
"";"Visokiy";"Russia";"52.435";"157.933";"1227";""
"";"Voyampolsky";"Russia";"58.374";"160.631";"1103";""
"";"Vysoky";"Russia";"55.064";"160.765";"2129";""
"";"Yavinsky";"Russia";"51.533";"156.629";"646";""
"";"Zaozerny";"Russia";"56.88";"159.95";"1349";""
"";"Zavaritsky";"Russia";"53.905";"158.385";"1567";""
"";"Zheltovsky";"Russia";"51.577";"157.328";"1926";""
"";"Zhupanovsky";"Russia";"53.589";"159.15";"2899";""
"";"Zimina";"Russia";"55.862";"160.603";"3057";""
"";"Piip";"Russia";"55.42";"167.33";"-300";""
"";"Brimstone Island";"New Zealand";"-30.23";"-178.92";"-2000";""
"";"Curtis Island";"New Zealand";"-30.543";"-178.556";"47";""
"";"Giggenbach";"New Zealand";"-30.036";"-178.712";"-65";""
"";"Havre Seamount";"New Zealand";"-31.08";"-179.033";"-897";""
"";"Macauley";"New Zealand";"-30.21";"-178.475";"238";""
"";"Monowai";"New Zealand";"-25.887";"-177.188";"-132";""
"";"Raoul Island";"New Zealand";"-29.27";"-177.92";"516";""
"";"Unnamed";"New Zealand";"-29.18";"-177.87";"-560";""
"";"Wright";"New Zealand";"-31.85";"-179.18";"-900";""
"";"Ch'uga-ryong";"North Korea";"38.33";"127.33";"452";""
"";"Xianjindao";"North Korea";"41.33";"128";"0";""
"";"Halla";"South Korea";"33.361";"126.53";"1919";""
"";"Ulleungdo";"South Korea";"37.5";"130.87";"984";""
"";"Alaid";"Russia";"50.861";"155.565";"2285";""
"";"Berutarubesan [Berutarube]";"Russia";"44.462";"146.932";"1221";""
"";"Chachadake [Tiatia]";"Russia";"44.353";"146.252";"1822";""
"";"Chikurachki";"Russia";"50.324";"155.461";"1781";""
"";"Chirinkotan";"Russia";"48.98";"153.48";"724";""
"";"Chirippusan [Chirip]";"Russia";"45.338";"147.92";"1587";""
"";"Chirpoi";"Russia";"46.532";"150.871";"742";""
"";"Ebeko";"Russia";"50.686";"156.014";"1103";""
"";"Ekarma";"Russia";"48.958";"153.93";"1170";""
"";"Etorofu-Atosanupuri [Atosanupuri]";"Russia";"44.808";"147.131";"1206";""
"";"Etorofu-Yakeyama [Grozny Group]";"Russia";"45.012";"147.871";"1158";""
"";"Fuss Peak";"Russia";"50.267";"155.246";"1742";""
"";"Goriaschaia Sopka";"Russia";"46.83";"151.75";"891";""
"";"Hitokappu Volcano Group";"Russia";"44.857";"147.403";"1610";""
"";"Ivao Group";"Russia";"45.759";"149.676";"1426";""
"";"Karpinsky Group";"Russia";"50.148";"155.373";"1326";""
"";"Ketoi";"Russia";"47.35";"152.475";"1172";""
"";"Kharimkotan";"Russia";"49.12";"154.508";"1145";""
"";"Kolokol Group";"Russia";"46.042";"150.083";"1328";""
"";"Lomonosov Group";"Russia";"50.25";"155.43";"1681";""
"";"Milna";"Russia";"46.815";"151.786";"1504";""
"";"Moekeshiwan [Lvinaya Past]";"Russia";"44.608";"146.994";"528";""
"";"Moyorodake [Medvezhia]";"Russia";"45.389";"148.838";"1124";""
"";"Nemo Peak";"Russia";"49.57";"154.808";"1018";""
"";"Odamoisan [Tebenkov]";"Russia";"45.028";"147.918";"1208";""
"";"Prevo Peak";"Russia";"47.014";"152.117";"1360";""
"";"Raikoke";"Russia";"48.292";"153.25";"551";""
"";"Rakkibetsudake [Demon]";"Russia";"45.5";"148.85";"1205";""
"";"Rasshua";"Russia";"47.77";"153.02";"956";""
"";"Raususan [Mendeleev]";"Russia";"43.979";"145.733";"882";""
"";"Rucharuyama [Golets-Tornyi Group]";"Russia";"45.25";"148.35";"442";""
"";"Rudakov";"Russia";"45.874";"149.819";"532";""
"";"Ruruidake [Smirnov]";"Russia";"44.454";"146.139";"1486";""
"";"Sarychev Peak";"Russia";"48.092";"153.2";"1496";""
"";"Sashiusudake [Baransky]";"Russia";"45.1";"148.019";"1125";""
"";"Shirinki";"Russia";"50.2";"154.98";"761";""
"";"Sinarka";"Russia";"48.873";"154.182";"911";""
"";"Srednii";"Russia";"47.586";"152.893";"36";""
"";"Tao-Rusyr Caldera";"Russia";"49.34";"154.725";"1272";""
"";"Tomariyama [Golovnin]";"Russia";"43.844";"145.504";"535";""
"";"Tri Sestry";"Russia";"45.93";"149.92";"998";""
"";"Unnamed";"Russia";"46.1";"150.5";"-100";""
"";"Unnamed";"Russia";"46.47";"151.28";"-502";""
"";"Unnamed";"Russia";"48.08";"153.33";"-150";""
"";"Unnamed";"Russia";"45.022";"147.019";"-195";""
"";"Uratman";"Russia";"47.12";"152.25";"678";""
"";"Ushishur";"Russia";"47.513";"152.814";"357";""
"";"Vernadskii Ridge";"Russia";"50.55";"155.97";"1183";""
"";"Zavaritzki Caldera";"Russia";"46.918";"151.952";"612";""
"";"Aira";"Japan";"31.577";"130.659";"1117";""
"";"Asosan";"Japan";"32.885";"131.085";"1592";""
"";"Ata";"Japan";"31.22";"130.57";"924";""
"";"Fukue";"Japan";"32.657";"128.849";"315";""
"";"Kirishimayama";"Japan";"31.934";"130.862";"1700";""
"";"Kujusan";"Japan";"33.086";"131.249";"1791";""
"";"Unzendake";"Japan";"32.761";"130.299";"1483";""
"";"Yonemaru-Sumiyoshiike";"Japan";"31.771";"130.592";"40";""
"";"Yufu-Tsurumi";"Japan";"33.282";"131.39";"1584";""
"";"Agung";"Indonesia";"-8.343";"115.508";"2997";""
"";"Batur";"Indonesia";"-8.24";"115.378";"1711";""
"";"Buyan-Bratan";"Indonesia";"-8.283";"115.133";"2244";""
"";"Ebulobo";"Indonesia";"-8.817";"121.191";"2096";""
"";"Egon";"Indonesia";"-8.676";"122.455";"1661";""
"";"Iliboleng";"Indonesia";"-8.342";"123.258";"1659";""
"";"Ililabalekan";"Indonesia";"-8.55";"123.38";"1018";""
"";"Ilimuda";"Indonesia";"-8.479";"122.761";"881";""
"";"Iliwerung";"Indonesia";"-8.532";"123.573";"583";""
"";"Inielika";"Indonesia";"-8.73";"120.98";"1559";""
"";"Inierie";"Indonesia";"-8.875";"120.95";"2245";""
"";"Iya";"Indonesia";"-8.891";"121.641";"618";""
"";"Kelimutu";"Indonesia";"-8.77";"121.82";"1639";""
"";"Leroboleng";"Indonesia";"-8.365";"122.833";"1095";""
"";"Lewotobi";"Indonesia";"-8.542";"122.775";"1703";""
"";"Lewotobi Perempuan";"Indonesia";"-8.575";"122.78";"1703";""
"";"Lewotolok";"Indonesia";"-8.274";"123.508";"1431";""
"";"Ndete Napu";"Indonesia";"-8.72";"121.78";"750";""
"";"Paluweh";"Indonesia";"-8.32";"121.708";"875";""
"";"Poco Leok";"Indonesia";"-8.68";"120.48";"1675";""
"";"Ranakah";"Indonesia";"-8.637";"120.53";"2288";""
"";"Rinjani";"Indonesia";"-8.42";"116.47";"3726";""
"";"Sangeang Api";"Indonesia";"-8.2";"119.07";"1912";""
"";"Sano, Wai";"Indonesia";"-8.735";"120.007";"1319";""
"";"Sirung";"Indonesia";"-8.497";"124.131";"1347";""
"";"Sukaria Caldera";"Indonesia";"-8.792";"121.77";"1500";""
"";"Tambora";"Indonesia";"-8.25";"118";"2850";""
"";"Tara, Batu";"Indonesia";"-7.791";"123.585";"633";""
"";"Yersey";"Indonesia";"-7.53";"123.95";"-3800";""
"";"Babuyan Claro";"Philippines";"19.524";"121.95";"1064";""
"";"Camiguin de Babuyanes";"Philippines";"18.83";"121.86";"712";""
"";"Didicas";"Philippines";"19.077";"122.202";"228";""
"";"Iraya";"Philippines";"20.469";"122.01";"1009";""
"";"Smith Volcano";"Philippines";"19.523";"121.94";"2090";""
"";"Unnamed";"Philippines";"20.33";"121.75";"-24";""
"";"Ambalatungan Group";"Philippines";"17.32";"121.1";"2329";""
"";"Amorong";"Philippines";"15.828";"120.805";"376";""
"";"Arayat";"Philippines";"15.2";"120.742";"1026";""
"";"Banahaw";"Philippines";"14.07";"121.48";"2158";""
"";"Bulusan";"Philippines";"12.769";"124.056";"1535";""
"";"Cagua";"Philippines";"18.222";"122.123";"1133";""
"";"Iriga";"Philippines";"13.458";"123.451";"1138";""
"";"Isarog";"Philippines";"13.658";"123.38";"1966";""
"";"Laguna Caldera";"Philippines";"14.42";"121.27";"743";""
"";"Malinao";"Philippines";"13.422";"123.597";"1548";""
"";"Malindig";"Philippines";"13.24";"122.018";"1157";""
"";"Mariveles";"Philippines";"14.527";"120.482";"1388";""
"";"Masaraga";"Philippines";"13.31";"123.598";"1294";""
"";"Mayon";"Philippines";"13.257";"123.685";"2462";""
"";"Natib";"Philippines";"14.72";"120.4";"1253";""
"";"Patoc";"Philippines";"17.147";"120.98";"1865";""
"";"Pinatubo";"Philippines";"15.13";"120.35";"1486";""
"";"Pocdol Mountains";"Philippines";"13.05";"123.958";"1102";""
"";"San Pablo Volcanic Field";"Philippines";"14.12";"121.3";"1090";""
"";"Santo Tomas";"Philippines";"16.33";"120.55";"2260";""
"";"Taal";"Philippines";"14.011";"120.998";"311";""
"";"Ambre-Bobaomby";"Madagascar";"-12.6";"49.15";"1475";""
"";"Ankaizina Field";"Madagascar";"-14.3";"48.67";"2878";""
"";"Itasy Volcanic Field";"Madagascar";"-19.033";"46.7";"1800";""
"";"Nosy-Be";"Madagascar";"-13.32";"48.48";"214";""
"";"Vakinankaratra";"Madagascar";"-19.85";"46.942";"2644";""
"";"Agrigan";"United States";"18.77";"145.67";"965";""
"";"Ahyi";"United States";"20.42";"145.03";"-75";""
"";"Alamagan";"United States";"17.6";"145.83";"744";""
"";"Anatahan";"United States";"16.35";"145.67";"790";""
"";"Asuncion";"United States";"19.671";"145.406";"857";""
"";"East Diamante";"United States";"15.93";"145.67";"-127";""
"";"Esmeralda Bank";"United States";"14.958";"145.249";"-74";""
"";"Farallon de Pajaros";"United States";"20.546";"144.893";"337";""
"";"Forecast Seamount";"United States";"13.4";"143.92";"-1456";""
"";"Guguan";"United States";"17.307";"145.845";"287";""
"";"Kasuga 2";"United States";"21.6";"143.637";"-274";""
"";"Mariana Back-Arc Segment at 15.5A�N";"United States";"15.406";"144.506";"-4100";""
"";"Maug Islands";"United States";"20.02";"145.22";"227";""
"";"NW Eifuku";"United States";"21.485";"144.043";"-1535";""
"";"NW Rota-1";"United States";"14.601";"144.775";"-517";""
"";"Pagan";"United States";"18.13";"145.8";"570";""
"";"Ruby";"United States";"15.605";"145.572";"-174";""
"";"Sarigan";"United States";"16.708";"145.78";"538";""
"";"Seamount X";"United States";"13.25";"144.02";"-1230";""
"";"South Sarigan Seamount";"United States";"16.58";"145.78";"-184";""
"";"Supply Reef";"United States";"20.13";"145.1";"-8";""
"";"Unnamed";"United States";"21";"142.9";"";""
"";"Unnamed";"United States";"20.3";"143.2";"";""
"";"Zealandia Bank";"United States";"16.88";"145.85";"0";""
"";"Atlixcos, Los";"Mexico";"19.81";"-96.527";"775";""
"";"Ceboruco";"Mexico";"21.125";"-104.508";"2280";""
"";"Chichinautzin";"Mexico";"19.139";"-99.16";"3938";""
"";"Chichon, El";"Mexico";"17.36";"-93.23";"1150";""
"";"Cofre de Perote";"Mexico";"19.492";"-97.15";"4282";""
"";"Colima";"Mexico";"19.514";"-103.62";"3850";""
"";"Comondu-La Purisima";"Mexico";"26";"-111.92";"780";""
"";"Coronado";"Mexico";"29.08";"-113.513";"440";""
"";"Cumbres, Las";"Mexico";"19.15";"-97.27";"3940";""
"";"Durango Volcanic Field";"Mexico";"24.15";"-104.45";"2075";""
"";"Gloria, La";"Mexico";"19.33";"-97.25";"3500";""
"";"Guadalupe";"Mexico";"29.07";"-118.28";"1100";""
"";"Humeros, Los";"Mexico";"19.68";"-97.45";"3150";""
"";"Isabel, Isla";"Mexico";"21.848";"-105.886";"95";""
"";"Iztaccihuatl";"Mexico";"19.179";"-98.642";"5230";""
"";"Jaraguay Volcanic Field";"Mexico";"29.33";"-114.5";"960";""
"";"Jocotitlan";"Mexico";"19.73";"-99.758";"3900";""
"";"Malinche, La";"Mexico";"19.231";"-98.032";"4461";""
"";"Mascota Volcanic Field";"Mexico";"20.567";"-104.817";"2525";""
"";"Michoacan-Guanajuato";"Mexico";"19.85";"-101.75";"3860";""
"";"Naolinco Volcanic Field";"Mexico";"19.67";"-96.75";"2000";""
"";"Orizaba, Pico de";"Mexico";"19.03";"-97.27";"5564";""
"";"Papayo";"Mexico";"19.308";"-98.7";"3600";""
"";"Paricutin Volcanic Field";"Mexico";"19.48";"-102.25";"3860";""
"";"Pinacate";"Mexico";"31.85";"-113.5";"1183";""
"";"Popocatepetl";"Mexico";"19.023";"-98.622";"5393";""
"";"Prieto, Cerro";"Mexico";"32.418";"-115.305";"223";""
"";"San Borja Volcanic Field";"Mexico";"28.5";"-113.75";"1360";""
"";"San Luis, Isla";"Mexico";"29.973";"-114.408";"183";""
"";"San Martin";"Mexico";"18.57";"-95.2";"1650";""
"";"San Quintin Volcanic Field";"Mexico";"30.468";"-115.996";"260";""
"";"Sanganguey";"Mexico";"21.45";"-104.73";"2340";""
"";"Serdan-Oriental";"Mexico";"19.27";"-97.47";"3485";""
"";"Tacana";"Mexico";"15.132";"-92.109";"4064";""
"";"Toluca, Nevado de";"Mexico";"19.108";"-99.758";"4680";""
"";"Tortuga, Isla";"Mexico";"27.438";"-111.881";"224";""
"";"Tres Virgenes";"Mexico";"27.47";"-112.591";"1934";""
"";"Unnamed";"Mexico";"28";"-115";"0";""
"";"Zitacuaro-Valle de Bravo";"Mexico";"19.4";"-100.25";"3500";""
"";"Barcena";"Mexico";"19.3";"-110.82";"332";""
"";"Socorro";"Mexico";"18.78";"-110.95";"1050";""
"";"Apo";"Philippines";"6.989";"125.269";"2938";""
"";"Balatocan";"Philippines";"8.8";"124.92";"2450";""
"";"Balut";"Philippines";"5.398";"125.376";"840";""
"";"Camiguin";"Philippines";"9.203";"124.673";"1552";""
"";"Kalatungan";"Philippines";"7.95";"124.8";"2824";""
"";"Latukan";"Philippines";"7.65";"124.47";"2338";""
"";"Leonard Range";"Philippines";"7.382";"126.047";"1080";""
"";"Makaturing";"Philippines";"7.644";"124.317";"1818";""
"";"Malindang";"Philippines";"8.22";"123.63";"2404";""
"";"Matutum";"Philippines";"6.36";"125.077";"2262";""
"";"Melebingoy";"Philippines";"6.113";"124.892";"1824";""
"";"Musuan";"Philippines";"7.877";"125.07";"610";""
"";"Paco";"Philippines";"9.593";"125.52";"524";""
"";"Ragang";"Philippines";"7.691";"124.507";"2790";""
"";"Bus-Obo";"Mongolia";"47.12";"109.08";"1162";""
"";"Dariganga Volcanic Field";"Mongolia";"45.754";"114.279";"1778";""
"";"Khanuy Gol";"Mongolia";"48.67";"102.75";"1886";""
"";"Middle Gobi";"Mongolia";"45.28";"106.7";"1120";""
"";"Taryatu-Chulutu";"Mongolia";"48.133";"99.95";"2326";""
"";"Bamus";"Papua New Guinea";"-5.2";"151.23";"2248";""
"";"Bola";"Papua New Guinea";"-5.141";"150.038";"1116";""
"";"Dakataua";"Papua New Guinea";"-5.046";"150.1";"408";""
"";"Garove";"Papua New Guinea";"-4.687";"149.511";"368";""
"";"Garua Harbour";"Papua New Guinea";"-5.3";"150.07";"565";""
"";"Hargy";"Papua New Guinea";"-5.33";"151.1";"1148";""
"";"Krummel-Garbuna-Welcker";"Papua New Guinea";"-5.416";"150.027";"564";""
"";"Langila";"Papua New Guinea";"-5.525";"148.42";"1330";""
"";"Lolo";"Papua New Guinea";"-5.466";"150.509";"796";""
"";"Lolobau";"Papua New Guinea";"-4.916";"151.162";"878";""
"";"Mundua";"Papua New Guinea";"-4.624";"149.339";"171";""
"";"Rabaul";"Papua New Guinea";"-4.246";"152.194";"688";""
"";"Sulu Range";"Papua New Guinea";"-5.5";"150.942";"610";""
"";"Tavui";"Papua New Guinea";"-4.109";"152.213";"200";""
"";"Ulawun";"Papua New Guinea";"-5.05";"151.33";"2334";""
"";"Unnamed";"Papua New Guinea";"-5.2";"148.57";"0";""
"";"Unnamed";"Papua New Guinea";"-4.75";"150.85";"0";""
"";"Witori";"Papua New Guinea";"-5.575";"150.516";"724";""
"";"Crater Mountain";"Papua New Guinea";"-6.58";"145.08";"3233";""
"";"Doma Peaks";"Papua New Guinea";"-5.9";"143.15";"3568";""
"";"Hydrographers Range";"Papua New Guinea";"-9";"148.37";"1915";""
"";"Koranga";"Papua New Guinea";"-7.33";"146.708";"1500";""
"";"Lamington";"Papua New Guinea";"-8.95";"148.15";"1680";""
"";"Madilogo";"Papua New Guinea";"-9.2";"147.57";"850";""
"";"Managlase Plateau";"Papua New Guinea";"-9.08";"148.33";"1342";""
"";"Musa River";"Papua New Guinea";"-9.308";"148.13";"808";""
"";"Sessagara";"Papua New Guinea";"-9.549";"149.151";"493";""
"";"Sessagara Hills";"Papua New Guinea";"-9.554";"149.128";"493";""
"";"Victory";"Papua New Guinea";"-9.2";"149.072";"1832";""
"";"Yelia";"Papua New Guinea";"-7.05";"145.858";"3384";""
"";"Bam";"Papua New Guinea";"-3.613";"144.818";"685";""
"";"Blup Blup";"Papua New Guinea";"-3.507";"144.605";"402";""
"";"Boisa";"Papua New Guinea";"-3.994";"144.963";"240";""
"";"Hankow Reef";"Papua New Guinea";"-4.883";"146.717";"-5";""
"";"Kadovar";"Papua New Guinea";"-3.608";"144.588";"365";""
"";"Karkar";"Papua New Guinea";"-4.647";"145.976";"1839";""
"";"Long Island";"Papua New Guinea";"-5.358";"147.12";"1280";""
"";"Manam";"Papua New Guinea";"-4.08";"145.037";"1807";""
"";"Ritter Island";"Papua New Guinea";"-5.519";"148.115";"75";""
"";"Sakar";"Papua New Guinea";"-5.414";"148.094";"992";""
"";"Umboi";"Papua New Guinea";"-5.592";"147.892";"1335";""
"";"Unnamed";"Papua New Guinea";"-4.311";"146.256";"-2000";""
"";"Ambitle";"Papua New Guinea";"-4.08";"153.65";"450";""
"";"Lihir";"Papua New Guinea";"-3.125";"152.642";"700";""
"";"Auckland Volcanic Field";"New Zealand";"-36.89";"174.81";"260";""
"";"Brothers";"New Zealand";"-34.875";"179.075";"-1350";""
"";"Clark";"New Zealand";"-36.446";"177.839";"-860";""
"";"Healy";"New Zealand";"-35.004";"178.973";"-980";""
"";"Kaikohe-Bay of Islands";"New Zealand";"-35.3";"173.9";"388";""
"";"Maroa";"New Zealand";"-38.42";"176.08";"897";""
"";"Mayor Island";"New Zealand";"-37.28";"176.25";"355";""
"";"Ngauruhoe";"New Zealand";"-39.158";"175.63";"2291";""
"";"Okataina";"New Zealand";"-38.157";"176.507";"1111";""
"";"Reporoa";"New Zealand";"-38.42";"176.33";"592";""
"";"Ruapehu";"New Zealand";"-39.28";"175.57";"2797";""
"";"Rumble II West";"New Zealand";"-35.353";"178.527";"-1200";""
"";"Rumble III";"New Zealand";"-35.745";"178.478";"-220";""
"";"Rumble IV";"New Zealand";"-36.13";"178.05";"-500";""
"";"Rumble V";"New Zealand";"-36.142";"178.196";"-400";""
"";"Tangaroa";"New Zealand";"-36.321";"178.028";"-600";""
"";"Taranaki";"New Zealand";"-39.3";"174.07";"2518";""
"";"Taupo";"New Zealand";"-38.781";"175.893";"760";""
"";"Tongariro";"New Zealand";"-39.157";"175.632";"1978";""
"";"Whakaari/White Island";"New Zealand";"-37.52";"177.18";"294";""
"";"Whangarei";"New Zealand";"-35.75";"174.27";"397";""
"";"Apoyeque";"Nicaragua";"12.242";"-86.342";"518";""
"";"Azul, Volcan";"Nicaragua";"12.53";"-83.87";"201";""
"";"Ciguatepe, Cerro El";"Nicaragua";"12.53";"-86.142";"603";""
"";"Concepcion";"Nicaragua";"11.538";"-85.622";"1700";""
"";"Cosiguina";"Nicaragua";"12.98";"-87.57";"872";""
"";"Esteli";"Nicaragua";"13.17";"-86.4";"899";""
"";"Granada";"Nicaragua";"11.9";"-85.979";"250";""
"";"Lajas, Las";"Nicaragua";"12.3";"-85.73";"926";""
"";"Las Pilas-El Hoyo Complex";"Nicaragua";"12.492";"-86.679";"1088";""
"";"Maderas";"Nicaragua";"11.446";"-85.515";"1394";""
"";"Masaya";"Nicaragua";"11.984";"-86.169";"594";""
"";"Mombacho";"Nicaragua";"11.826";"-85.968";"1344";""
"";"Momotombo";"Nicaragua";"12.423";"-86.539";"1270";""
"";"Negro, Cerro";"Nicaragua";"12.506";"-86.702";"728";""
"";"Nejapa-Miraflores";"Nicaragua";"12.12";"-86.32";"360";""
